Mod:Item:MetaData, Localized Name
minecraft:wool:4, Yellow Wool
minecraft:wool:5, Lime Wool
minecraft:wool:6, Pink Wool
minecraft:wool:7, Gray Wool
minecraft:wool:8, Light Gray Wool
minecraft:wool:9, Cyan Wool
minecraft:wool:10, Purple Wool
minecraft:wool:11, Blue Wool
minecraft:wool:12, Brown Wool
minecraft:wool:13, Green Wool
minecraft:wool:14, Red Wool
minecraft:wool:15, Black Wool
minecraft:yellow_flower:0, Dandelion
minecraft:red_flower:0, Poppy
minecraft:red_flower:1, Blue Orchid
minecraft:red_flower:2, Allium
minecraft:red_flower:3, Azure Bluet
minecraft:red_flower:4, Red Tulip
minecraft:red_flower:5, Orange Tulip
minecraft:red_flower:6, White Tulip
minecraft:red_flower:7, Pink Tulip
minecraft:red_flower:8, Oxeye Daisy
minecraft:brown_mushroom, Mushroom
minecraft:red_mushroom, Mushroom
minecraft:gold_block, Block of Gold
minecraft:iron_block, Block of Iron
minecraft:stone_slab:0, Stone Slab
minecraft:stone_slab:1, Sandstone Slab
minecraft:stone_slab:3, Cobblestone Slab
minecraft:stone_slab:4, Bricks Slab
minecraft:stone_slab:5, Stone Bricks Slab
minecraft:stone_slab:6, Nether Brick Slab
minecraft:stone_slab:7, Quartz Slab
minecraft:brick_block, Bricks
minecraft:tnt, TNT
minecraft:bookshelf, Bookshelf
minecraft:mossy_cobblestone, Moss Stone
minecraft:obsidian, Obsidian
minecraft:torch, Torch
minecraft:fire, Fire
minecraft:mob_spawner:0, Monster Spawner
minecraft:oak_stairs, Oak Wood Stairs
minecraft:chest, Chest
minecraft:diamond_ore, Diamond Ore
minecraft:diamond_block, Block of Diamond
minecraft:crafting_table, Crafting Table
minecraft:farmland, Farmland
minecraft:furnace, Furnace
minecraft:lit_furnace, Furnace
minecraft:ladder, Ladder
minecraft:rail, Track
minecraft:stone_stairs, Stone Stairs
minecraft:lever, Lever
minecraft:stone_pressure_plate, Pressure Plate
minecraft:wooden_pressure_plate, Pressure Plate
minecraft:redstone_ore, Redstone Ore
minecraft:redstone_torch, Redstone Torch
minecraft:stone_button, Button
minecraft:snow_layer:0, Snow
minecraft:ice, Ice
minecraft:snow, Snow
minecraft:cactus, Cactus
minecraft:clay, Clay
minecraft:jukebox, Jukebox
minecraft:fence, Fence
minecraft:pumpkin, Pumpkin
minecraft:netherrack, Netherrack
minecraft:soul_sand, Soul Sand
minecraft:glowstone, Glowstone
minecraft:portal, Portal
minecraft:lit_pumpkin, Jack o'Lantern
minecraft:stained_glass:0, White Stained Glass
minecraft:stained_glass:1, Orange Stained Glass
minecraft:stained_glass:2, Magenta Stained Glass
minecraft:stained_glass:3, Light Blue Stained Glass
minecraft:stained_glass:4, Yellow Stained Glass
minecraft:stained_glass:5, Lime Stained Glass
minecraft:stained_glass:6, Pink Stained Glass
minecraft:stained_glass:7, Gray Stained Glass
minecraft:stained_glass:8, Light Gray Stained Glass
minecraft:stained_glass:9, Cyan Stained Glass
minecraft:stained_glass:10, Purple Stained Glass
minecraft:stained_glass:11, Blue Stained Glass
minecraft:stained_glass:12, Brown Stained Glass
minecraft:stained_glass:13, Green Stained Glass
minecraft:stained_glass:14, Red Stained Glass
minecraft:stained_glass:15, Black Stained Glass
minecraft:trapdoor, Trapdoor
minecraft:monster_egg:0, Stone Monster Egg
minecraft:monster_egg:1, Cobblestone Monster Egg
minecraft:monster_egg:2, Stone Brick Monster Egg
minecraft:monster_egg:3, Mossy Stone Brick Monster Egg
minecraft:monster_egg:4, Cracked Stone Brick Monster Egg
minecraft:monster_egg:5, Chiseled Stone Brick Monster Egg
minecraft:stonebrick:0, Stone Bricks
minecraft:stonebrick:1, Mossy Stone Bricks
minecraft:stonebrick:2, Cracked Stone Bricks
minecraft:stonebrick:3, Chiseled Stone Bricks
minecraft:brown_mushroom_block, Mushroom
minecraft:red_mushroom_block, Mushroom
minecraft:iron_bars, Iron Bars
minecraft:glass_pane, Glass Pane
minecraft:melon_block, Melon
minecraft:vine, Vines
minecraft:fence_gate, Oak Fence Gate
minecraft:brick_stairs, Brick Stairs
minecraft:stone_brick_stairs, Stone Brick Stairs
minecraft:mycelium, Mycelium
minecraft:waterlily, Lily Pad
minecraft:nether_brick, Nether Brick
minecraft:nether_brick_fence, Nether Brick Fence
minecraft:nether_brick_stairs, Nether Brick Stairs
minecraft:enchanting_table, Enchantment Table
minecraft:end_portal, Unnamed Block, report to mod author.
minecraft:end_portal_frame, End Portal
minecraft:end_stone, End Stone
minecraft:dragon_egg, Dragon Egg
minecraft:redstone_lamp, Redstone Lamp
minecraft:wooden_slab:0, Oak Wood Slab
minecraft:wooden_slab:1, Spruce Wood Slab
minecraft:wooden_slab:2, Birch Wood Slab
minecraft:wooden_slab:3, Jungle Wood Slab
minecraft:wooden_slab:4, Acacia Wood Slab
minecraft:wooden_slab:5, Dark Oak Wood Slab
minecraft:cocoa, Cocoa
minecraft:sandstone_stairs, Sandstone Stairs
minecraft:emerald_ore, Emerald Ore
minecraft:ender_chest, Ender Chest
minecraft:tripwire_hook, Tripwire Hook
minecraft:emerald_block, Block of Emerald
minecraft:spruce_stairs, Spruce Wood Stairs
minecraft:birch_stairs, Birch Wood Stairs
minecraft:jungle_stairs, Jungle Wood Stairs
minecraft:command_block, Command Block
minecraft:beacon, Beacon
minecraft:cobblestone_wall:0, Cobblestone Wall
minecraft:cobblestone_wall:1, Mossy Cobblestone Wall
minecraft:carrots, Carrots
minecraft:potatoes, Potatoes
minecraft:wooden_button, Button
minecraft:anvil:0, Anvil
minecraft:anvil:1, Slightly Damaged Anvil
minecraft:anvil:2, Very Damaged Anvil
minecraft:trapped_chest, Trapped Chest
minecraft:light_weighted_pressure_plate, Weighted Pressure Plate (Light)
minecraft:heavy_weighted_pressure_plate, Weighted Pressure Plate (Heavy)
minecraft:daylight_detector, Daylight Sensor
minecraft:redstone_block, Block of Redstone
minecraft:quartz_ore, Nether Quartz Ore
minecraft:hopper, Hopper
minecraft:quartz_block:0, Block of Quartz
minecraft:quartz_block:1, Chiseled Quartz Block
minecraft:quartz_block:2, Pillar Quartz Block
minecraft:quartz_stairs, Quartz Stairs
minecraft:activator_rail, Activator Track
minecraft:dropper, Dropper
minecraft:stained_hardened_clay:0, White Stained Clay
minecraft:stained_hardened_clay:1, Orange Stained Clay
minecraft:stained_hardened_clay:2, Magenta Stained Clay
minecraft:stained_hardened_clay:3, Light Blue Stained Clay
minecraft:stained_hardened_clay:4, Yellow Stained Clay
minecraft:stained_hardened_clay:5, Lime Stained Clay
minecraft:stained_hardened_clay:6, Pink Stained Clay
minecraft:stained_hardened_clay:7, Gray Stained Clay
minecraft:stained_hardened_clay:8, Light Gray Stained Clay
minecraft:stained_hardened_clay:9, Cyan Stained Clay
minecraft:stained_hardened_clay:10, Purple Stained Clay
minecraft:stained_hardened_clay:11, Blue Stained Clay
minecraft:stained_hardened_clay:12, Brown Stained Clay
minecraft:stained_hardened_clay:13, Green Stained Clay
minecraft:stained_hardened_clay:14, Red Stained Clay
minecraft:stained_hardened_clay:15, Black Stained Clay
minecraft:stained_glass_pane:0, White Stained Glass Pane
minecraft:stained_glass_pane:1, Orange Stained Glass Pane
minecraft:stained_glass_pane:2, Magenta Stained Glass Pane
minecraft:stained_glass_pane:3, Light Blue Stained Glass Pane
minecraft:stained_glass_pane:4, Yellow Stained Glass Pane
minecraft:stained_glass_pane:5, Lime Stained Glass Pane
minecraft:stained_glass_pane:6, Pink Stained Glass Pane
minecraft:stained_glass_pane:7, Gray Stained Glass Pane
minecraft:stained_glass_pane:8, Light Gray Stained Glass Pane
minecraft:stained_glass_pane:9, Cyan Stained Glass Pane
minecraft:stained_glass_pane:10, Purple Stained Glass Pane
minecraft:stained_glass_pane:11, Blue Stained Glass Pane
minecraft:stained_glass_pane:12, Brown Stained Glass Pane
minecraft:stained_glass_pane:13, Green Stained Glass Pane
minecraft:stained_glass_pane:14, Red Stained Glass Pane
minecraft:stained_glass_pane:15, Black Stained Glass Pane
minecraft:leaves2:0, Acacia Leaves
minecraft:leaves2:1, Dark Oak Leaves
minecraft:log2:0, Acacia Wood
minecraft:log2:1, Dark Oak Wood
minecraft:acacia_stairs, Acacia Wood Stairs
minecraft:dark_oak_stairs, Dark Oak Wood Stairs
fp:colorIron:0, White Colored Metal
fp:colorIron:1, Orange Colored Metal
fp:colorIron:2, Magenta Colored Metal
fp:colorIron:3, Light Blue Colored Iron
fp:colorIron:4, Yellow Colored Metal
fp:colorIron:5, Lime Colored Metal
fp:colorIron:6, Pink Colored Metal
fp:colorIron:7, Gray Colored Metal
fp:colorIron:8, Light Gray Colored Metal
fp:colorIron:9, Cyan Colored Metal
fp:colorIron:10, Purple Colored Metal
fp:colorIron:11, Blue Colored Metal
fp:colorIron:12, Brown Colored Metal
fp:colorIron:13, Green Colored Metal
fp:colorIron:14, Red Colored Metal
fp:colorIron:15, Black Colored Metal
fp:colorLuftung:0, White Colored Ventilation
fp:colorLuftung:1, Orange Colored Ventilation
fp:colorLuftung:2, Magenta Colored Ventilation
fp:colorLuftung:3, Light Blue Colored Ventilation
fp:colorLuftung:4, Yellow Colored Ventilation
fp:colorLuftung:5, Lime Colored Ventilation
fp:colorLuftung:6, Pink Colored Ventilation
fp:colorLuftung:7, Gray Colored Ventilation
fp:colorLuftung:8, Light Gray Colored Ventilation
fp:colorLuftung:9, Cyan Colored Ventilation
fp:colorLuftung:10, Purple Colored Ventilation
fp:colorLuftung:11, Blue Colored Ventilation
fp:colorLuftung:12, Brown Colored Ventilation
fp:colorLuftung:13, Green Colored Ventilation
fp:colorLuftung:14, Red Colored Ventilation
fp:colorLuftung:15, Black Colored Ventilation
fp:colorGitter:0, White Colored Grid Block
fp:colorGitter:1, Orange Colored Grid Block
fp:colorGitter:2, Magenta Colored Grid Block
fp:colorGitter:3, Light Blue Colored Grid Block
fp:colorGitter:4, Yellow Colored Grid Block
fp:colorGitter:5, Lime Colored Grid Block
fp:colorGitter:6, Pink Colored Grid Block
fp:colorGitter:7, Gray Colored Grid Block
fp:colorGitter:8, Light Gray Colored Grid Block
fp:colorGitter:9, Cyan Colored Grid Block
fp:colorGitter:10, Purple Colored Grid Block
fp:colorGitter:11, Blue Colored Grid Block
fp:colorGitter:12, Brown Colored Grid Block
fp:colorGitter:13, Green Colored Grid Block
fp:colorGitter:14, Red Colored Grid Block
fp:colorGitter:15, Black Colored Grid Block
fp:colorGlas:0, White Colored Glass
fp:colorGlas:1, Orange Colored Glass
fp:colorGlas:2, Magenta Colored Glass
fp:colorGlas:3, Light Blue Colored Glass
fp:colorGlas:4, Yellow Colored Glass
fp:colorGlas:5, Lime Colored Glass
fp:colorGlas:6, Pink Colored Glass
fp:colorGlas:7, Gray Colored Glass
fp:colorGlas:8, Light Gray Colored Glass
fp:colorGlas:9, Cyan Colored Glass
fp:colorGlas:10, Purple Colored Glass
fp:colorGlas:11, Blue Colored Glass
fp:colorGlas:12, Brown Colored Glass
fp:colorGlas:13, Green Colored Glass
fp:colorGlas:14, Red Colored Glass
fp:colorGlas:15, Black Colored Glass
fp:colorIronStair0:0, White Colored Metal Stairs
minecraft:hay_block, Hay Bale
minecraft:carpet:0, Carpet
minecraft:carpet:1, Orange Carpet
minecraft:carpet:2, Magenta Carpet
minecraft:carpet:3, Light Blue Carpet
minecraft:carpet:4, Yellow Carpet
minecraft:carpet:5, Lime Carpet
minecraft:carpet:6, Pink Carpet
minecraft:carpet:7, Gray Carpet
minecraft:carpet:8, Light Gray Carpet
minecraft:carpet:9, Cyan Carpet
minecraft:carpet:10, Purple Carpet
minecraft:carpet:11, Blue Carpet
minecraft:carpet:12, Brown Carpet
minecraft:carpet:13, Green Carpet
minecraft:carpet:14, Red Carpet
minecraft:carpet:15, Black Carpet
minecraft:hardened_clay, Hardened Clay
minecraft:coal_block, Block of Coal
minecraft:packed_ice, Packed Ice
minecraft:double_plant:0, Sunflower
minecraft:double_plant:1, Lilac
minecraft:double_plant:2, Double Tallgrass
minecraft:double_plant:3, Large Fern
minecraft:double_plant:4, Rose Bush
minecraft:double_plant:5, Peony
fp:colorIronStair1:0, Orange Colored Metal Stairs
fp:colorIronStair2:0, Magenta Colored Metal Stairs
fp:colorIronStair3:0, Light Blue Colored Metal Stairs
fp:colorIronStair4:0, Yellow Colored Metal Stairs
fp:colorIronStair5:0, Lime Colored Metal Stairs
fp:colorIronStair6:0, Pink Colored Metal Stairs
fp:colorIronStair7:0, Gray Colored Metal Stairs
fp:colorIronStair8:0, Light Gray Colored Metal Stairs
fp:colorIronStair9:0, Cyan Colored Metal Stairs
fp:colorIronStair10:0, Purple Colored Metal Stairs
fp:colorIronStair11:0, Blue Colored Metal Stairs
fp:colorIronStair12:0, Brown Colored Metal Stairs
fp:colorIronStair13:0, Green Colored Metal Stairs
fp:colorIronStair14:0, Red Colored Metal Stairs
fp:colorIronStair15:0, Black Colored Metal Stairs
fp:colorGitterStair0:0, White Colored Grid Stairs
fp:colorGitterStair1:0, Orange Colored Grid Stairs
fp:colorGitterStair2:0, Magenta Colored Grid Stairs
fp:colorGitterStair3:0, Light Blue Colored Grid Stairs
fp:colorGitterStair4:0, Yellow Colored Grid Stairs
fp:colorGitterStair5:0, Lime Colored Grid Stairs
fp:colorGitterStair6:0, Pink Colored Grid Stairs
fp:colorGitterStair7:0, Gray Colored Grid Stairs
fp:colorGitterStair8:0, Light Gray Colored Grid Stairs
fp:colorGitterStair9:0, Cyan Colored Grid Stairs
fp:colorGitterStair10:0, Purple Colored Grid Stairs
fp:colorGitterStair11:0, Blue Colored Grid Stairs
fp:colorGitterStair12:0, Brown Colored Grid Stairs
fp:colorGitterStair13:0, Green Colored Grid Stairs
fp:colorGitterStair14:0, Red Colored Grid Stairs
fp:colorGitterStair15:0, Black Colored Grid Stairs
fp:colorIronStepHalf_0:0, White Colored Metal Slab
fp:colorIronStepHalf_0:1, Orange Colored Metal Slab
fp:colorIronStepHalf_0:2, Magenta Colored Metal Slab
fp:colorIronStepHalf_0:3, Light Blue Colored Metal Slab
fp:colorIronStepHalf_0:4, Yellow Colored Metal Slab
fp:colorIronStepHalf_0:5, Lime Colored Metal Slab
fp:colorIronStepHalf_0:6, Pink Colored Metal Slab
fp:colorIronStepHalf_0:7, Gray Colored Metal Slab
fp:colorIronStepHalf_1:0, Light Gray Colored Metal Slab
fp:colorIronStepHalf_1:1, Cyan Colored Metal Slab
fp:colorIronStepHalf_1:2, Purple Colored Metal Slab
fp:colorIronStepHalf_1:3, Blue Colored Metal Slab
fp:colorIronStepHalf_1:4, Brown Colored Metal Slab
fp:colorIronStepHalf_1:5, Green Colored Metal Slab
fp:colorIronStepHalf_1:6, Red Colored Metal Slab
fp:colorIronStepHalf_1:7, Black Colored Metal Slab
fp:colorGitterStepHalf_0:0, White Colored Grid Slab
fp:colorGitterStepHalf_0:1, Orange Colored Grid Slab
fp:colorGitterStepHalf_0:2, Magenta Colored Grid Slab
fp:colorGitterStepHalf_0:3, Light Blue Colored Grid Slab
fp:colorGitterStepHalf_0:4, Yellow Colored Grid Slab
fp:colorGitterStepHalf_0:5, Lime Colored Grid Slab
fp:colorGitterStepHalf_0:6, Pink Colored Grid Slab
fp:colorGitterStepHalf_0:7, Gray Colored Grid Slab
fp:colorGitterStepHalf_1:0, Light Gray Colored Grid Slab
fp:colorGitterStepHalf_1:1, Cyan Colored Grid Slab
fp:colorGitterStepHalf_1:2, Purple Colored Grid Slab
fp:colorGitterStepHalf_1:3, Blue Colored Grid Slab
fp:colorGitterStepHalf_1:4, Brown Colored Grid Slab
fp:colorGitterStepHalf_1:5, Green Colored Grid Slab
fp:colorGitterStepHalf_1:6, Red Colored Grid Slab
fp:colorGitterStepHalf_1:7, Black Colored Grid Slab
fp:colorLuftungStepHalf_0:0, White Colored Ventilation Slab
fp:colorLuftungStepHalf_0:1, Orange Colored Ventilation Slab
fp:colorLuftungStepHalf_0:2, Magenta Colored Ventilation Slab
fp:colorLuftungStepHalf_0:3, Light Blue Colored Ventilation Slab
fp:colorLuftungStepHalf_0:4, Yellow Colored Ventilation Slab
fp:colorLuftungStepHalf_0:5, Lime Colored Ventilation Slab
fp:colorLuftungStepHalf_0:6, Pink Colored Ventilation Slab
fp:colorLuftungStepHalf_0:7, Gray Colored Ventilation Slab
fp:colorLuftungStepHalf_1:0, Light Gray Colored Ventilation Slab
fp:colorLuftungStepHalf_1:1, Cyan Colored Ventilation Slab
fp:colorLuftungStepHalf_1:2, Purple Colored Ventilation Slab
fp:colorLuftungStepHalf_1:3, Blue Colored Ventilation Slab
fp:colorLuftungStepHalf_1:4, Brown Colored Ventilation Slab
fp:colorLuftungStepHalf_1:5, Green Colored Ventilation Slab
fp:colorLuftungStepHalf_1:6, Red Colored Ventilation Slab
fp:colorLuftungStepHalf_1:7, Black Colored Ventilation Slab
fp:colorGitterPane:0, White Colored Grid
fp:colorGitterPane:1, Orange Colored Grid
fp:colorGitterPane:2, Magenta Colored Grid
fp:colorGitterPane:3, Light Blue Colored Grid
fp:colorGitterPane:4, Yellow Colored Grid
fp:colorGitterPane:5, Lime Colored Grid
fp:colorGitterPane:6, Pink Colored Grid
fp:colorGitterPane:7, Gray Colored Grid
fp:colorGitterPane:8, Light Gray Colored Grid
fp:colorGitterPane:9, Cyan Colored Grid
fp:colorGitterPane:10, Purple Colored Grid
fp:colorGitterPane:11, Blue Colored Grid
fp:colorGitterPane:12, Brown Colored Grid
fp:colorGitterPane:13, Green Colored Grid
fp:colorGitterPane:14, Red Colored Grid
fp:colorGitterPane:15, Black Colored Grid
fp:metallGitterPane:0, Grid
fp:metallGitterBlock:0, Grid Block
fp:colorIronFence:0, White Colored Fence
fp:colorIronFence:1, Orange Colored Fence
fp:colorIronFence:2, Magenta Colored Fence
fp:colorIronFence:3, Light Blue Colored Fence
fp:colorIronFence:4, Yellow Colored Fence
fp:colorIronFence:5, Lime Colored Fence
fp:colorIronFence:6, Pink Colored Fence
fp:colorIronFence:7, Gray Colored Fence
fp:colorIronFence:8, Light Gray Colored Fence
fp:colorIronFence:9, Cyan Colored Fence
fp:colorIronFence:10, Purple Colored Fence
fp:colorIronFence:11, Blue Colored Fence
fp:colorIronFence:12, Brown Colored Fence
fp:colorIronFence:13, Green Colored Fence
fp:colorIronFence:14, Red Colored Fence
fp:colorIronFence:15, Black Colored Fence
fp:eisenleiter, Iron Ladder
fp:antenne:0, Aerial
fp:antenne:1, Aerial
fp:antenne:2, Aerial
fp:colorNeonOn:0, White Neon Lamp
fp:colorNeonOn:1, Orange Neon Lamp
fp:colorNeonOn:2, Magenta Neon Lamp
fp:colorNeonOn:3, Light Blue Neon Lamp
fp:colorNeonOn:4, Yellow Neon Lamp
fp:colorNeonOn:5, Lime Neon Lamp
fp:colorNeonOn:6, Pink Neon Lamp
fp:colorNeonOn:7, Gray Neon Lamp
fp:colorNeonOn:8, Light Gray Neon Lamp
fp:colorNeonOn:9, Cyan Neon Lamp
fp:colorNeonOn:10, Purple Neon Lamp
fp:colorNeonOn:11, Blue Neon Lamp
fp:colorNeonOn:12, Brown Neon Lamp
fp:colorNeonOn:13, Green Neon Lamp
fp:colorNeonOn:14, Red Neon Lamp
fp:colorNeonOn:15, Black Neon Lamp
fp:colorPlasmaOn:0, White Plasma Lamp
fp:colorPlasmaOn:1, Orange Plasma Lamp
fp:colorPlasmaOn:2, Magenta Plasma Lamp
fp:colorPlasmaOn:3, Light Blue Plasma Lamp
fp:colorPlasmaOn:4, Yellow Plasma Lamp
fp:colorPlasmaOn:5, Lime Plasma Lamp
fp:colorPlasmaOn:6, Pink Plasma Lamp
fp:colorPlasmaOn:7, Gray Plasma Lamp
fp:colorPlasmaOn:8, Light Gray Plasma Lamp
fp:colorPlasmaOn:9, Cyan Plasma Lamp
fp:colorPlasmaOn:10, Purple Plasma Lamp
fp:colorPlasmaOn:11, Blue Plasma Lamp
fp:colorPlasmaOn:12, Brown Plasma Lamp
fp:colorPlasmaOn:13, Green Plasma Lamp
fp:colorPlasmaOn:14, Red Plasma Lamp
fp:colorPlasmaOn:15, Black Plasma Lamp
fp:spacedoor:0, Airlock
fp:protonenCollektor:0, Ionen Collector
fp:protonenCollektor:1, Ionen Collector
fp:protonenCollektor:2, Ionen Collector
fp:wire:0, Cable
fp:wire:1, Redstone Cable
fp:wire:2, Network Cable
fp:wire:3, Support Cable
fp:wire:4, AI Cable
fp:wandrope:0, Wardrobe
fp:wandrope:1, Wardrobe
fp:wandrope:2, Wardrobe
fp:wandrope:3, Wardrobe
fp:wandrope:4, Wardrobe
fp:wandrope:5, Wardrobe
fp:wandrope:6, Wardrobe
fp:wandrope:7, Wardrobe
fp:wandrope:8, Wardrobe
fp:wandrope:9, Wardrobe
fp:wandrope:10, Wardrobe
fp:wandrope:11, Wardrobe
fp:ersePlant:0, PlantErse
fp:erze:0, Tin Ore
fp:erze:1, Zinc Ore
fp:erze:2, Copper Ore
fp:erze:3, Bauxit
fp:erze:4, Magnetit Ore
fp:monorail:0, Monorail
fp:neonGranulat:0, Neon Sand
fp:neonGranulat:1, Neon Sand
fp:neonGranulat:2, Neon Sand
fp:neonGranulat:3, Neon Sand
fp:neonGranulat:4, Neon Sand
fp:cristall:0, Neon Crystal
fp:cristall:3, Retium Crystal
fp:cristall:6, Glowtit Crystal
fp:cristall:9, Bioterium Crystal
fp:cristall:12, Alutin Crystal
fp:optiBench:2, Opti Bench
fp:optiBench:6, Opti Bench
fp:optiBench:10, Opti Bench
fp:elektroMagnet:0, Elektro Magnet
fp:Magnet:0, Magnetit Block
fp:pulsit:0, Gravity Pulser
fp:pucher:0, Pusher
fp:fishBlock:0, Fish Block
fp:industrieOfen:2, Industrial Furnace
fp:blockBreaker:0, Block Breaker
fp:metalTreppe:0, Metal Stair
fp:metalSlap0:0, Metal Slab
fp:metalSlap1:0, Metal Slab
fp:metalFence:0, Metal Fence
fp:partpress:0, Part Press
fp:eFurnace:2, Neon Furnace
fp:eFurnace:6, Neon Furnace
fp:eFurnace:10, Neon Furnace
fp:solarpanel:0, Solar Panel
fp:solarpanel:1, Solar Panel
fp:solarpanel:2, Solar Panel
fp:AssemblyTable:2, Assembly Table
fp:AssemblyTable:6, Assembly Table
fp:AssemblyTable:10, Assembly Table
fp:cruscher:2, Super Crusher
fp:cruscher:6, Super Crusher
fp:cruscher:10, Super Crusher
fp:entityEater:0, Entity Eatere
minecraft:iron_shovel, Iron Shovel
minecraft:iron_pickaxe, Iron Pickaxe
minecraft:iron_axe, Iron Axe
minecraft:flint_and_steel, Flint and Steel
minecraft:apple, Apple
minecraft:bow, Bow
minecraft:arrow, Arrow
minecraft:coal:0, Coal
minecraft:coal:1, Charcoal
minecraft:diamond, Diamond
minecraft:iron_ingot, Iron Ingot
minecraft:gold_ingot, Gold Ingot
minecraft:iron_sword, Iron Sword
minecraft:wooden_sword, Wooden Sword
minecraft:wooden_shovel, Wooden Shovel
minecraft:wooden_pickaxe, Wooden Pickaxe
minecraft:wooden_axe, Wooden Axe
minecraft:stone_sword, Stone Sword
minecraft:stone_shovel, Stone Shovel
minecraft:stone_pickaxe, Stone Pickaxe
minecraft:stone_axe, Stone Axe
minecraft:diamond_sword, Diamond Sword
minecraft:diamond_shovel, Diamond Shovel
minecraft:diamond_pickaxe, Diamond Pickaxe
minecraft:diamond_axe, Diamond Axe
minecraft:stick, Stick
minecraft:bowl, Bowl
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Golden Sword
minecraft:golden_shovel, Golden Shovel
minecraft:golden_pickaxe, Golden Pickaxe
minecraft:golden_axe, Golden Axe
minecraft:string, String
minecraft:feather, Feather
minecraft:gunpowder, Gunpowder
minecraft:wooden_hoe, Wooden Hoe
minecraft:stone_hoe, Stone Hoe
minecraft:iron_hoe, Iron Hoe
minecraft:diamond_hoe, Diamond Hoe
minecraft:golden_hoe, Golden Hoe
minecraft:wheat_seeds, Seeds
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Leather Cap
minecraft:leather_chestplate, Leather Tunic
minecraft:leather_leggings, Leather Pants
minecraft:leather_boots, Leather Boots
minecraft:chainmail_helmet, Chain Helmet
minecraft:chainmail_chestplate, Chain Chestplate
minecraft:chainmail_leggings, Chain Leggings
minecraft:chainmail_boots, Chain Boots
minecraft:iron_helmet, Iron Helmet
minecraft:iron_chestplate, Iron Chestplate
minecraft:iron_leggings, Iron Leggings
minecraft:iron_boots, Iron Boots
minecraft:diamond_helmet, Diamond Helmet
minecraft:diamond_chestplate, Diamond Chestplate
minecraft:diamond_leggings, Diamond Leggings
minecraft:diamond_boots, Diamond Boots
minecraft:golden_helmet, Golden Helmet
minecraft:golden_chestplate, Golden Chestplate
minecraft:golden_leggings, Golden Leggings
minecraft:golden_boots, Golden Boots
minecraft:flint, Flint
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Painting
minecraft:golden_apple:0, Golden Apple
minecraft:golden_apple:1, Golden Apple
minecraft:sign, Sign
minecraft:wooden_door, Wooden Door
minecraft:bucket, Bucket
minecraft:water_bucket, Water Bucket
minecraft:lava_bucket, Lava Bucket
minecraft:minecart, Minecart
minecraft:saddle, Saddle
minecraft:iron_door, Iron Door
minecraft:redstone, Redstone
minecraft:snowball, Snowball
minecraft:boat, Boat
minecraft:leather, Leather
minecraft:milk_bucket, Milk
minecraft:brick, Brick
minecraft:clay_ball, Clay
minecraft:reeds, Sugar Canes
minecraft:paper, Paper
minecraft:book, Book
minecraft:slime_ball, Slimeball
minecraft:chest_minecart, Chest Cart
minecraft:furnace_minecart, Furnace Cart
minecraft:egg, Egg
minecraft:compass, Compass
minecraft:fishing_rod, Wooden Fishing Rod
minecraft:clock, Clock
